Strategy,Full Sharpe,Low Sharpe,Low Ann.Ret,Normal Sharpe,Normal Ann.Ret,High Sharpe,High Ann.Ret
CSP (Delta -0.3),0.75,1.14,67.4%,1.40,104.0%,1.44,93.4%
SmartWheel(W180),0.82,1.02,93.4%,1.52,124.1%,1.16,123.2%
Wheel (Delta 0.3),0.81,1.26,74.8%,1.50,121.3%,1.29,96.3%
Buy & Hold,0.81,0.80,143.4%,1.26,179.5%,1.29,163.9%
