Strategy,Total Return,CAGR,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95%,CVaR 95%,Skewness,Kurtosis,Worst Day
SmartWheel(W180),1558.7%,50.4%,0.82,0.84,61.8%,0.82,-3.9%,-6.1%,-0.42,11.78,-32.8%
SmartWheel(W90),770.8%,36.9%,0.66,0.66,58.5%,0.63,-4.1%,-6.3%,-0.56,16.36,-37.5%
Buy & Hold,2208.3%,57.8%,0.81,0.84,76.7%,0.75,-4.9%,-7.4%,-0.30,10.86,-39.1%
SmartWheel(W365),798.9%,37.6%,0.66,0.66,67.7%,0.56,-4.3%,-6.5%,-0.61,13.54,-35.3%
